seed,horizon,budget,exploration_param,gamma,steps
4839634,14,199526,32,0.95,170
4839635,34,63096,16,0.9,200
4839634,10,794328,32,0.95,78
4839635,10,199526,32,1.0,200
4839634,18,19953,16,0.95,200
4839635,24,398107,16,0.95,200
4839635,12,100000,16,0.95,200
4839635,12,19953,8,0.95,182
4839634,16,31623,16,0.9,54
4839634,34,158489,32,0.95,200
4839634,34,3981,16,0.95,44
4839635,20,2512,32,0.95,18
4839635,40,630957,32,0.95,200
4839635,20,25119,16,0.95,200
4839635,28,15849,32,1.0,200
4839635,22,158489,32,0.95,200
4839634,26,25119,8,0.9,38
4839635,20,1000,8,0.95,23
4839634,32,1995,8,0.95,30
4839634,20,158489,16,1.0,200
4839635,26,39811,32,0.9,23
4839634,32,398107,8,0.95,200
4839635,22,1259,32,1.0,49
4839634,34,6310,16,0.9,17
4839634,40,199526,16,0.9,200
4839634,14,125893,32,0.95,200
4839634,12,398107,32,1.0,89
4839635,18,398107,16,1.0,200
4839635,18,19953,32,0.95,36
4839635,10,100000,16,0.95,82
4839634,20,1000,8,1.0,28
4839635,36,251189,8,1.0,200
4839634,20,6310,32,1.0,193
4839634,14,31623,16,1.0,200
4839635,38,1259,16,0.95,21
4839635,16,10000,32,1.0,200
4839635,34,501187,16,1.0,200
4839634,12,1995,8,0.9,20
4839635,40,1585,16,0.9,24
4839634,24,12589,8,0.95,200
4839635,18,501187,32,0.9,200
4839634,38,1259,8,1.0,33
4839635,20,794328,32,0.9,200
4839634,30,12589,8,0.9,182
4839635,32,100000,32,0.95,126
4839634,12,19953,32,1.0,180
4839635,18,19953,16,1.0,200
4839635,20,19953,16,0.95,200
4839635,16,794328,32,0.95,200
4839634,14,398107,16,0.9,200
4839634,40,2512,16,1.0,43
4839634,30,158489,32,0.95,200
4839635,32,15849,8,1.0,200
4839635,18,10000,32,0.9,35
4839635,16,2512,32,0.9,29
4839635,30,25119,32,0.95,53
4839635,12,100000,8,1.0,200
4839635,16,19953,32,1.0,94
4839634,20,1585,8,0.9,20
4839634,22,10000,32,1.0,200
4839634,28,100000,8,0.9,200
4839635,22,10000,32,0.95,38
4839634,34,1000000,8,0.9,200
4839635,38,199526,32,1.0,200
4839634,20,6310,32,0.9,26
4839634,16,398107,8,1.0,195
4839635,26,125893,16,1.0,200
4839634,22,5012,32,1.0,82
4839635,18,1259,16,1.0,46
4839634,10,2512,16,0.95,30
4839635,40,125893,8,0.9,112
4839634,34,12589,8,0.9,30
