seed,horizon,budget,exploration_param,gamma,steps
4839643,28,316228,32,0.9,157
4839643,40,10000,32,0.95,60
4839643,34,63096,16,0.9,72
4839643,36,316228,16,0.9,497
4839643,22,5012,32,0.9,41
4839643,26,63096,16,1.0,500
4839643,24,1259,16,1.0,28
4839643,36,100000,32,0.9,55
4839643,20,3162,32,0.9,24
4839643,32,199526,16,0.95,500
4839643,26,199526,32,0.95,433
4839643,32,31623,32,1.0,471
4839643,28,501187,16,1.0,368
4839643,16,3981,32,0.9,18
4839643,40,3162,32,1.0,19
4839643,10,3162,16,1.0,29
4839643,12,794328,32,0.9,51
4839643,18,15849,16,0.95,240
4839643,30,3162,32,0.95,16
4839643,12,316228,16,1.0,147
4839643,24,3981,16,0.9,26
4839643,34,31623,16,1.0,500
4839643,18,630957,16,0.95,500
4839643,24,31623,32,0.9,26
4839643,32,7943,16,1.0,365
4839643,20,1259,32,1.0,28
4839643,32,794328,32,1.0,500
4839643,14,1259,32,1.0,32
4839643,30,19953,16,0.9,43
4839643,30,398107,32,0.95,500
4839643,32,3981,16,0.95,36
4839643,18,1259,32,0.95,27
4839643,36,630957,32,0.95,500
4839643,28,1995,16,0.9,47
4839643,30,3981,32,0.9,45
4839643,12,63096,16,1.0,144
4839643,24,3981,32,0.9,33
4839643,22,6310,32,0.9,16
4839643,20,125893,16,0.9,293
4839643,24,501187,32,1.0,500
4839643,30,1585,32,1.0,31
4839643,40,79433,32,0.95,118
4839643,34,39811,16,1.0,500
4839643,14,2512,16,1.0,41
4839643,32,1000,16,1.0,42
4839643,32,1585,32,0.9,21
4839643,30,1585,32,0.9,32
4839643,18,79433,32,0.95,302
4839643,22,501187,32,0.9,500
4839643,16,100000,16,0.9,109
4839643,40,100000,32,1.0,455
4839643,12,630957,16,0.9,77
4839643,32,1259,32,1.0,13
4839643,20,398107,32,0.9,194
4839643,10,25119,32,0.9,40
4839643,40,501187,32,0.95,500
4839643,40,158489,16,0.9,444
4839643,18,501187,16,1.0,500
4839643,34,19953,32,1.0,500
4839643,40,39811,16,1.0,455
4839643,34,1585,16,0.9,32
4839643,20,158489,32,0.9,44
4839643,16,3162,32,1.0,21
4839643,12,7943,16,0.95,28
4839643,36,1000,16,0.9,12
4839643,12,10000,16,0.95,44
4839643,16,25119,32,0.9,37
4839643,36,1585,32,1.0,12
4839643,20,25119,32,0.9,19
4839643,14,794328,32,0.9,65
4839643,32,2512,16,0.9,17
4839643,16,1259,32,0.9,12
4839643,30,25119,16,1.0,500
4839643,24,630957,16,1.0,281
4839643,20,7943,32,0.9,16
4839643,26,199526,16,1.0,292
4839643,10,125893,32,1.0,57
4839643,18,1000000,32,1.0,500
4839643,28,1585,16,1.0,28
4839643,24,100000,32,0.95,500
4839643,14,794328,16,0.9,97
4839643,30,501187,32,0.9,500
4839643,30,12589,16,0.9,25
4839643,12,199526,16,0.9,134
4839643,26,158489,16,1.0,427
4839643,36,1000000,32,0.95,413
4839643,36,79433,16,0.95,500
4839643,24,1585,16,0.95,42
4839643,22,31623,16,0.95,414
4839643,18,1259,16,1.0,42
4839643,24,1995,32,1.0,17
4839643,36,5012,32,0.95,19
4839643,20,31623,32,1.0,387
4839643,38,50119,16,0.95,500
4839643,38,3981,16,1.0,191
4839643,32,630957,16,0.95,500
4839643,10,79433,32,1.0,123
4839643,12,630957,16,0.95,142
4839643,10,25119,16,0.9,30
4839643,40,1000000,32,0.9,443
4839643,14,501187,32,0.95,108
4839643,30,251189,16,0.95,500
4839643,26,39811,32,0.9,47
4839643,38,3981,32,0.95,28
4839643,40,630957,16,0.9,500
4839643,12,10000,16,1.0,372
4839643,32,1000,32,1.0,19
4839643,28,79433,16,0.9,130
4839643,32,100000,16,0.9,274
4839643,40,630957,32,1.0,500
4839643,18,10000,16,0.9,27
4839643,36,3981,32,1.0,68
4839643,40,39811,32,0.9,30
4839643,16,158489,32,1.0,500
4839643,18,25119,32,0.9,20
4839643,14,31623,32,0.9,66
4839643,22,63096,16,0.95,500
4839643,34,794328,16,1.0,500
4839643,40,2512,32,1.0,33
4839643,20,630957,32,0.9,170
4839643,24,794328,16,0.9,500
4839643,20,15849,32,0.9,48
4839643,22,19953,16,1.0,405
4839643,30,630957,16,0.95,477
4839643,40,79433,32,1.0,500
4839643,10,1000,16,0.95,57
4839643,40,199526,32,1.0,500
4839643,28,6310,16,1.0,463
4839643,40,10000,32,1.0,81
4839643,22,50119,16,0.9,72
4839643,34,79433,16,0.95,500
4839643,20,10000,32,0.95,56
4839643,12,398107,32,0.9,91
4839643,36,31623,32,1.0,500
4839643,20,630957,16,1.0,499
4839643,30,398107,32,1.0,500
4839643,16,158489,32,0.9,43
4839643,32,25119,16,0.9,27
4839643,38,1000000,16,0.9,373
4839643,22,5012,32,0.95,50
4839643,34,2512,16,1.0,64
4839643,36,251189,32,1.0,480
4839643,30,100000,32,0.9,28
4839643,20,39811,16,0.95,312
4839643,28,1000,32,0.9,16
4839643,26,63096,16,0.9,58
4839643,36,3162,16,0.9,32
4839643,16,31623,32,1.0,500
4839643,14,630957,32,1.0,426
4839643,28,39811,32,0.9,81
4839643,36,39811,16,0.95,207
4839643,34,158489,32,0.95,500
4839643,18,31623,16,1.0,500
4839643,28,10000,32,0.95,44
4839643,38,316228,16,0.9,500
4839643,26,39811,16,0.95,500
4839643,32,79433,16,0.9,71
4839643,34,19953,32,0.9,27
4839643,14,63096,32,0.9,56
4839643,16,316228,32,1.0,374
4839643,32,5012,16,0.95,32
4839643,22,630957,32,0.95,500
4839643,12,2512,16,1.0,46
4839643,30,100000,32,0.95,412
4839643,26,79433,16,0.9,146
4839643,12,398107,32,1.0,500
4839643,18,79433,16,0.9,144
4839643,30,501187,32,0.95,500
4839643,10,79433,16,0.9,37
4839643,32,1000,16,0.9,34
4839643,22,1000000,16,0.9,427
4839643,10,630957,32,1.0,202
4839643,34,100000,16,1.0,399
4839643,40,19953,16,0.95,93
4839643,16,39811,32,0.9,32
4839643,40,316228,32,0.9,58
4839643,12,398107,16,0.9,66
4839643,22,10000,16,0.9,32
4839643,34,50119,32,0.95,43
4839643,10,6310,16,0.9,52
4839643,38,1259,32,0.9,13
4839643,18,1259,32,0.9,20
4839643,20,50119,32,0.9,43
4839643,30,1585,16,0.95,28
4839643,34,199526,16,1.0,500
4839643,40,3981,32,0.95,20
4839643,40,5012,16,0.9,34
4839643,10,63096,32,1.0,75
4839643,24,5012,16,0.9,33
4839643,36,79433,32,1.0,500
4839643,38,316228,32,0.9,60
4839643,26,1995,32,1.0,44
4839643,14,501187,16,0.95,422
4839643,24,1000000,16,0.9,251
4839643,14,1995,16,0.95,47
4839643,14,25119,16,1.0,500
4839643,32,501187,32,0.95,500
4839643,28,398107,32,0.9,175
4839643,22,100000,16,0.95,500
4839643,26,79433,32,1.0,500
4839643,22,2512,16,1.0,110
4839643,26,501187,32,1.0,481
